"X","Y","OBJECTID","EVENT_UNIQUE_ID","REPORT_DATE","OCC_DATE","REPORT_YEAR","REPORT_MONTH","REPORT_DAY","REPORT_DOY","REPORT_DOW","REPORT_HOUR","OCC_YEAR","OCC_MONTH","OCC_DAY","OCC_DOY","OCC_DOW","OCC_HOUR","DIVISION","LOCATION_TYPE","PREMISES_TYPE","UCR_CODE","UCR_EXT","OFFENCE","MCI_CATEGORY","HOOD_158","NEIGHBOURHOOD_158","HOOD_140","NEIGHBOURHOOD_140","LONG_WGS84","LAT_WGS84"
-8855488.4786326,5416241.24109512,392761,"GO-20241185211","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",7,2024,"June",1,153,"Saturday  ",1,"D23","Single Home, House (Attach Garage, Cottage, Mobile)","House",2135,210,"Theft Of Motor Vehicle","Auto Theft","007","Willowridge-Martingrove-Richview (7)","007","Willowridge-Martingrove-Richview (7)",-79.5502064868525,43.6812147754445
-8840320.96902783,5412793.67878064,392762,"GO-20241184252","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",2,2024,"June",1,153,"Saturday  ",2,"D14","Schools During Un-Supervised Activity","Educational",1610,200,"Robbery - Mugging","Robbery","080","Palmerston-Little Italy (80)","080","Palmerston-Little Italy (80)",-79.4139544297436,43.6588133026204
-8829779.81808962,5425475.75215553,392763,"GO-20241184623","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",3,2024,"June",1,153,"Saturday  ",3,"D33","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",2120,200,"B&E","Break and Enter","043","Victoria Village (43)","043","Victoria Village (43)",-79.3192616597932,43.7411773238148
-8851607.78622803,5406477.20807183,392764,"GO-20241184531","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",3,2024,"June",1,153,"Saturday  ",3,"D22","Dealership (Car, Motorcycle, Marine, Trailer, Etc.)","Commercial",2120,200,"B&E","Break and Enter","160","Mimico-Queensway (160)","017","Mimico (includes Humber Bay Shores) (17)",-79.5153456339508,43.6177486275434
-8851607.78622803,5406477.20807183,392765,"GO-20241184531","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",3,2024,"June",1,153,"Saturday  ",3,"D22","Dealership (Car, Motorcycle, Marine, Trailer, Etc.)","Commercial",2135,210,"Theft Of Motor Vehicle","Auto Theft","160","Mimico-Queensway (160)","017","Mimico (includes Humber Bay Shores) (17)",-79.5153456339508,43.6177486275434
-8819720.09300228,5439057.80474779,392766,"GO-20241191208","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",23,2024,"June",1,153,"Saturday  ",23,"D42","Single Home, House (Attach Garage, Cottage, Mobile)","House",2120,200,"B&E","Break and Enter","144","Morningside Heights (144)","131","Rouge (131)",-79.2288936117822,43.829260797561
-8822128.67330616,5430955.50104275,392767,"GO-20241188604","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",16,2024,"June",1,153,"Saturday  ",16,"D43","Homeless Shelter / Mission","Other",1430,100,"Assault","Assault","142","Woburn North (142)","137","Woburn (137)",-79.2505302572106,43.7767306732539
-8860425.33218325,5428049.40647822,392768,"GO-20241186302","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",11,2024,"June",1,153,"Saturday  ",11,"D23","Single Home, House (Attach Garage, Cottage, Mobile)","House",1430,100,"Assault","Assault","002","Mount Olive-Silverstone-Jamestown (2)","002","Mount Olive-Silverstone-Jamestown (2)",-79.5945549969803,43.7578781708657
-8830587.11449526,5416205.95001758,392769,"GO-20241185680","2024/06/01 05:00:00+00","2024/06/01 05:00:00+00",2024,"June",1,153,"Saturday  ",9,2024,"June",1,153,"Saturday  ",9,"D55","Single Home, House (Attach Garage, Cottage, Mobile)","House",2135,210,"Theft Of Motor Vehicle","Auto Theft","065","Greenwood-Coxwell (65)","065","Greenwood-Coxwell (65)",-79.3265137269061,43.6809855036831
-8847941.75876727,5424267.01799644,392770,"GO-20241188411","2024/06/01 05:00:00+00","2024/05/31 05:00:00+00",2024,"June",1,153,"Saturday  ",16,2024,"May",31,152,"Friday    ",15,"D31","Streets, Roads, Highways (Bicycle Path, Private Road)","Outside",2135,210,"Theft Of Motor Vehicle","Auto Theft","155","Downsview (155)","026","Downsview-Roding-CFB (26)",-79.4824131485251,43.7333320495225
